id,literal_id,printed_id,play_agricola_card_id,name_ja,name_en,min_players_number,prerequisite,cost,description,note,is_official_ja,victory_point,special_victory_point,has_arrow,has_bonus_point_icon,has_negative_bonus_icon,has_pan_icon,has_bread_icon,has_farm_planner_icon,has_actions_booster_icon,has_points_provider_icon,has_goods_provider_icon,has_food_provider_icon,has_crop_provider_icon,has_building_resource_provider_icon,has_livestock_provider_icon,has_cut_peat_icon,has_fell_trees_icon,has_slash_and_burn_icon,has_hiring_fare_icon,card_special_color_id,card_type_id,deck_id,revision_id
101001,1,1,,かまど,Fireplace,,,レンガ2,"以下の品をいつでも食料にできる：
野菜1→食料2 羊1→食料2 猪1→食料2 牛1→食料3
「パンを焼く」のアクションでは、小麦を以下の量の食料にできる：
小麦1→食料2",,1,1,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,3,,1
101002,2,2,,かまど,Fireplace,,,レンガ3,"以下の品をいつでも食料にできる：
野菜1→食料2 羊1→食料2 猪1→食料2 牛1→食料3
「パンを焼く」のアクションでは、小麦を以下の量の食料にできる：
小麦1→食料2",,1,1,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,3,,1
101003,3,3,,調理場,Cooking Hearth,,,かまどを返す または レンガ4,"以下の品をいつでも食料にできる：
野菜1→食料3 羊1→食料2 猪1→食料3 牛1→食料4
「パンを焼く」のアクションでは、小麦を以下の量の食料にできる：
小麦1→食料3",,1,1,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,3,,1
101004,4,4,,調理場,Cooking Hearth,,,かまどを返す または レンガ5,"以下の品をいつでも食料にできる：
野菜1→食料3 羊1→食料2 猪1→食料3 牛1→食料4
「パンを焼く」のアクションでは、小麦を以下の量の食料にできる：
小麦1→食料3",,1,1,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,3,,1
101005,5,5,,レンガ暖炉,Clay Oven,,,レンガ3石材1,「パンを焼く」のアクションのたびに、小麦最大1を食料5にできる。このカードの獲得のとき、追加アクションで「パンを焼く」ができる。,,1,2,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,3,,1
101006,6,6,,石の暖炉,Stone Oven,,,石材3レンガ1,「パンを焼く」のアクションのたびに、小麦最大2までそれぞれ食料4にできる。このカードの獲得のとき、追加アクションで「パンを焼く」ができる。,,1,3,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,3,,1
101007,7,7,,家具製作所,Joinery,,,木材2石材2,収穫のたびに木材最大1を食料2にできる。ゲーム終了時に木材3/5/7でそれぞれ1/2/3点のボーナスを得る。,,1,2,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,,1
101008,8,8,,製陶所,Pottery,,,レンガ2石材2,収穫のたびにレンガ最大1を食料2にできる。ゲーム終了時にレンガ3/5/7でそれぞれ1/2/3点のボーナスを得る。,,1,2,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,,1
101009,9,9,,かご製作所,Basketmaker's Workshop,,,葦2石材2,収穫のたびに葦最大1を食料3にできる。ゲーム終了時に葦2/4/7でそれぞれ1/2/3点のボーナスを得る。,,1,2,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,,1
101010,10,10,,井戸,Well,,,石材3木材1,これ以降の5ラウンドのスペースにそれぞれ食料1を置く。これらのラウンドのはじめにその食料を得る。,,1,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,,1
101011,11,11,1485,畑,Field,,,食料1,このカードを出したらすぐに畑を（最大）1つ耕す。（プレイしたカードは自分の前に置かずに左どなりの人の手札に入れる）,,1,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,1
101012,12,12,1476,釣竿,Fishing Rod,,,木材1,「漁」のアクションのたびに、追加で食料1を得る。ラウンド8からは追加で食料2を得る。,,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,1
101013,13,13,1301,斧,Axe,,,木材1石材1,木の家の増築はいつも木材2と葦2でできる。,,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,1
101014,14,14,1482,パン焼き暖炉,Baker's Oven,,,暖炉1枚を返す,「パンを焼く」のアクションのたびに、小麦2つまでをそれぞれ食料5にできる。このカードを出してすぐに追加で「パンを焼く」のアクションができる。,,1,3,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,1
101015,15,15,1391,パン焼き桶,Baking Tray,,,木材1,レンガ暖炉と石の暖炉が小さい進歩になり好きな資材1つ安くなる。木の暖炉も資材1つ安くなる。,,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,1
101016,16,16,1587,建築資材,Building Material,,,,このカードを出したらすぐ木材1かレンガ1を得る。（プレイしたカードは自分の前に置かず左どなりの人の手札に入れる）,,1,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,1
101017,17,17,1675,風車小屋,Windmill,,,木材3石材1,パンを焼かずにいつでも小麦1を食料2にできる。,,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,1
101018,18,18,1480,マメ畑,Beanfield,,職業2,,種まきで、このカードの上に畑と同じように野菜を植えられる。（このカードは得点計算で畑に含めない）,,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,1
101019,19,19,1582,三つ足やかん,Gypsy’s Crock,,,レンガ2,:鍋:の印がついた進歩で2つの品物を食料にするたびに食料をもう1つ得る。（家畜も含む）,,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,1
101020,20,20,1413,簡易かまど,Simple Fireplace,,,レンガ1,"以下の品をいつでも食料にできる：
野菜1→食料2 羊1→食料1 猪1→食料2 牛1→食料3
「パンを焼く」のアクションでは、小麦を以下の数の食料にできる：
小麦1→食料2",,1,1,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,1
101021,21,21,1519,木骨の小屋,Half-timbered House,,,木材1レンガ1葦1石材2,ゲーム終了時に石の家の広さ1スペースにつき、ボーナス1点を得る。（木骨の小屋とヴィラの両方を持っていたら、ヴィラのボーナス点のみ入る）,,1,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,1
101022,22,22,1479,いかだ,Raft,,,木材2,「漁」のアクションのたびに追加の食料1か葦1を得る。,,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,1
101023,23,23,1534,かいば桶,Manger,,,木材2,ゲーム終了時に、牧場の広さの合計が6/7/8/9マス以上で、ボーナス1/2/3/4点を得る。,,1,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,1
101024,24,24,1359,檻,Animal Pen,,職業4,木材2,これ以降のラウンドのスペース全部にそれぞれ食料2を置く。これらのラウンドのはじめにその食料を得る。,,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,1
101025,25,25,1526,スパイス,Spices,,,,:鍋:のついた進歩カードで野菜を食料にするたびに追加で食料1を得る。,,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,1
101026,26,26,1589,かんな,Plane,,,木材1,家具製作所・製材所・家具職人で、木材1を食料に換えると追加で食料1を得る。あるいは木材をもう1つ払って食料2に換えられる。,,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,1
101027,27,27,1602,木の暖炉,Wood-fired Oven,,,木材3石材1,「パンを焼く」のアクションのたびにいくつでも小麦1つにつき食料3にできる。このカードを出してすぐに追加で「パンを焼く」のアクションができる。,,1,2,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,1
101028,28,28,1478,木のスリッパ,Clogs,,,木材1,ゲーム終了時に、レンガの家でボーナス1点、石の家でボーナス2点を得る。,,1,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,1
101029,29,29,1665,角笛,Shepherd’s Pipe,,羊1,,厩の有無に関わらず、羊のいる牧場はそれぞれ追加で2頭まで飼える。柵で囲んでいない厩は羊2頭まで飼える。,,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,1
101030,30,30,1459,カヌー,Canoe,,職業2,木材2,「漁」のアクションのたびに、追加で食料1と葦1を得る。,,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,1
101031,31,31,1463,鯉の池,Carp Pond,,職業1と進歩2,,これ以降の奇数ラウンドのスペースに、それぞれ食料1を置く。これらのラウンドのはじめにその食料を得る。,,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,1
101032,32,32,1530,じゃがいも掘り,Potato Dibber,,,木材1,種をまくたびに、野菜を新しく植えた畑全部にもう1つ野菜を置く。,,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,1
101033,33,33,1411,陶器,Ceramics,,暖炉1,レンガ1,このカードを出すとすぐに食料2を得る。今後、製陶所は小さい進歩になり、無料で作れる。,,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,1
101034,34,34,1532,かご,Basket,,,葦1,スペースから木材を取るアクションのたびに、木材2をそのスペースに残して食料3を得ることができる。,,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,1
101035,35,35,1410,穀物スコップ,Corn Scoop,,,木材1,「小麦を取る」のアクションのたびに、小麦をもう1つ得る。,,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,1
101036,36,36,1350,レンガの屋根,Clay Roof,,職業1,,増築か改築をするとき、葦1または2を同数のレンガで代用できる。,,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,1
101037,37,37,1356,レンガの柱,Clay Supports,,,木材2,レンガの家を増築するたびに、レンガ5と葦2をレンガ2と木材2と葦1で代用できる。,,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,1
101038,38,38,1593,聖マリア像,Madonna Statue,,進歩2を捨てる,,得点だけで効果なし（自分の前に出した進歩カードを2枚捨てなければならない。手札は不可。大きい進歩でも小さい進歩でもよい。捨てた進歩カードによって得られるはずだった品物は全てなくなる）,,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,1
101039,39,39,1596,露店,Market Stall,,,小麦1,このカードを出したらすぐ野菜1を得る。つまり、小麦1を野菜1に替える。（プレイしたカードは自分の前に置かず左どなりの人の手札に入れる）,,1,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,1
